,광역시도,시도,20-39세남자,20-39세여자,20-39세합계,65세이상남자,65세이상여자,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역
103,경상북도,성주군,4685.0,3660.0,8345.0,5157.0,7241.0,12398.0,23166.0,22039.0,45205.0,0.5904178093240845,True
104,경상북도,안동시,19827.0,17781.0,37608.0,14271.0,20401.0,34672.0,83341.0,85457.0,168798.0,1.0256691278264882,False
105,경상북도,영덕군,3356.0,2758.0,6114.0,4876.0,8021.0,12897.0,18607.0,20445.0,39052.0,0.42769636349538653,True
106,경상북도,영양군,1462.0,1192.0,2654.0,2362.0,3516.0,5878.0,8724.0,8989.0,17713.0,0.4055801292956788,True
107,경상북도,영주시,11836.0,9630.0,21466.0,10201.0,14376.0,24577.0,54245.0,55002.0,109247.0,0.7836595190625382,True
108,경상북도,영천시,11321.0,8980.0,20301.0,10346.0,14717.0,25063.0,50644.0,49877.0,100521.0,0.7165941826596975,True
109,경상북도,예천군,4206.0,3494.0,7700.0,6111.0,8932.0,15043.0,22663.0,23503.0,46166.0,0.46453499966761946,True
110,경상북도,울릉군,1252.0,863.0,2115.0,966.0,1188.0,2154.0,5430.0,4571.0,10001.0,0.8012999071494893,True
111,경상북도,울진군,5691.0,4498.0,10189.0,4842.0,7823.0,12665.0,25847.0,25891.0,51738.0,0.7103039873667588,True
112,경상북도,의성군,4390.0,3326.0,7716.0,8004.0,11892.0,19896.0,26334.0,27680.0,54014.0,0.3343385605146763,True
113,경상북도,청도군,3823.0,3037.0,6860.0,5701.0,8573.0,14274.0,21278.0,22286.0,43564.0,0.42552893372565503,True
114,경상북도,청송군,2408.0,1756.0,4164.0,3595.0,5005.0,8600.0,13008.0,13293.0,26301.0,0.40837209302325583,True
115,경상북도,칠곡군,19619.0,16831.0,36450.0,6284.0,9195.0,15479.0,64002.0,59197.0,123199.0,2.1746882873570645,False
116,경상북도,포항시,70613.0,60263.0,130876.0,29358.0,38938.0,68296.0,261105.0,255670.0,516775.0,1.764759283120534,False
117,광주광역시,광산구,59157.0,57338.0,116495.0,12580.0,19487.0,32067.0,202480.0,200569.0,403049.0,3.5761374621885427,False
118,광주광역시,남구,29748.0,28859.0,58607.0,13646.0,18538.0,32184.0,106288.0,113441.0,219729.0,1.793375590355456,False
119,광주광역시,동구,13470.0,12008.0,25478.0,8464.0,10949.0,19413.0,47823.0,47968.0,95791.0,1.2371091536599186,False
120,광주광역시,북구,65662.0,60644.0,126306.0,22845.0,30849.0,53694.0,219300.0,221766.0,441066.0,2.258874362126122,False
121,광주광역시,서구,44559.0,43352.0,87911.0,14888.0,20326.0,35214.0,152246.0,157333.0,309579.0,2.4622025330834325,False
122,대구광역시,남구,21888.0,19722.0,41610.0,12357.0,17617.0,29974.0,76147.0,80286.0,156433.0,1.3159404817508507,False
123,대구광역시,달서구,86332.0,77782.0,164114.0,26503.0,36474.0,62977.0,294121.0,297770.0,591891.0,2.4701716499674484,False
124,대구광역시,달성군,33437.0,29407.0,62844.0,10100.0,14115.0,24215.0,111194.0,107074.0,218268.0,2.428825108403882,False
125,대구광역시,동구,49782.0,44155.0,93937.0,23561.0,32206.0,55767.0,174663.0,176689.0,351352.0,1.5835529972923055,False
126,대구광역시,북구,62395.0,56497.0,118892.0,21215.0,29941.0,51156.0,220247.0,220136.0,440383.0,2.2088122605363987,False
127,대구광역시,서구,28507.0,22923.0,51430.0,13988.0,19050.0,33038.0,100760.0,98747.0,199507.0,1.3876747987166294,False
128,대구광역시,수성구,55564.0,52594.0,108158.0,23501.0,32930.0,56431.0,218317.0,228694.0,447011.0,1.8640109159858942,False
129,대구광역시,중구,11586.0,11124.0,22710.0,6272.0,9071.0,15343.0,38720.0,40992.0,79712.0,1.4500423645962328,False
130,대전광역시,대덕구,27907.0,24229.0,52136.0,9827.0,12956.0,22783.0,97879.0,94809.0,192688.0,2.1269367510863364,False
131,대전광역시,동구,34015.0,29621.0,63636.0,15327.0,20436.0,35763.0,118911.0,116048.0,234959.0,1.6565165114783436,False
132,대전광역시,서구,74012.0,72077.0,146089.0,21166.0,27914.0,49080.0,242044.0,248967.0,491011.0,2.937123064384678,False
133,대전광역시,유성구,56011.0,51790.0,107801.0,10709.0,14765.0,25474.0,173072.0,170150.0,343222.0,4.066106618512993,False
134,대전광역시,중구,33905.0,32108.0,66013.0,16629.0,21839.0,38468.0,125383.0,127107.0,252490.0,1.6693355516273267,False
135,부산광역시,강서구,17887.0,16329.0,34216.0,5610.0,6738.0,12348.0,56287.0,52622.0,108909.0,2.6448007774538387,False
136,부산광역시,금정구,34857.0,30945.0,65802.0,17211.0,22271.0,39482.0,120291.0,124333.0,244624.0,1.567549769515222,False
137,부산광역시,기장군,22023.0,21569.0,43592.0,8835.0,12221.0,21056.0,78373.0,80154.0,158527.0,2.0487272036474162,False
138,부산광역시,남구,37612.0,34852.0,72464.0,19811.0,25967.0,45778.0,137096.0,141683.0,278779.0,1.5226528026562978,False
139,부산광역시,동구,11439.0,9778.0,21217.0,8477.0,11857.0,20334.0,44516.0,45310.0,89826.0,0.961738959378381,True
140,부산광역시,동래구,36785.0,34291.0,71076.0,17850.0,22499.0,40349.0,133890.0,138855.0,272745.0,1.6997199434930235,False
141,부산광역시,부산진구,55000.0,52863.0,107863.0,25865.0,34676.0,60541.0,184213.0,192313.0,376526.0,1.7463537107084455,False
142,부산광역시,북구,44901.0,40630.0,85531.0,16581.0,21941.0,38522.0,154276.0,155926.0,310202.0,2.1094439541041483,False
143,부산광역시,사상구,35050.0,30196.0,65246.0,13418.0,17143.0,30561.0,118419.0,114381.0,232800.0,1.9761133470763392,False
144,부산광역시,사하구,48162.0,42333.0,90495.0,20343.0,26435.0,46778.0,167290.0,167313.0,334603.0,1.8099533968959767,False
145,부산광역시,서구,14166.0,13204.0,27370.0,10009.0,13897.0,23906.0,55469.0,57504.0,112973.0,1.1046599180122145,False
146,부산광역시,수영구,25251.0,25153.0,50404.0,13418.0,17413.0,30831.0,85573.0,93751.0,179324.0,1.6316694236320586,False
147,부산광역시,연제구,28145.0,27040.0,55185.0,14089.0,17743.0,31832.0,101330.0,105938.0,207268.0,1.6989193264639357,False
148,부산광역시,영도구,15617.0,13183.0,28800.0,11293.0,15899.0,27192.0,62596.0,63766.0,126362.0,0.9696234186525449,True
149,부산광역시,중구,5934.0,5300.0,11234.0,4069.0,5631.0,9700.0,22174.0,23034.0,45208.0,1.092783505154639,False
150,부산광역시,해운대구,54367.0,53853.0,108220.0,24015.0,32839.0,56854.0,203814.0,216039.0,419853.0,1.8944313504766594,False
151,서울특별시,강남구,83476.0,94421.0,177897.0,27849.0,33973.0,61822.0,271604.0,295511.0,567115.0,3.054608391834622,False
152,서울특별시,강동구,68047.0,65184.0,133231.0,24071.0,29050.0,53121.0,221118.0,223050.0,444168.0,2.454170666967866,False
153,서울특별시,강북구,46779.0,44053.0,90832.0,23273.0,30691.0,53964.0,160861.0,166334.0,327195.0,1.632681046623675,False
154,서울특별시,강서구,96129.0,96755.0,192884.0,31137.0,39752.0,70889.0,290478.0,305007.0,595485.0,2.7297606116604833,False
155,서울특별시,관악구,100962.0,91299.0,192261.0,30013.0,36646.0,66659.0,256143.0,250708.0,506851.0,2.7392850177770445,False
156,서울특별시,광진구,59781.0,61477.0,121258.0,18345.0,22947.0,41292.0,174797.0,182418.0,357215.0,2.9776712196067034,False
157,서울특별시,구로구,64916.0,63925.0,128841.0,25369.0,29790.0,55159.0,207667.0,209884.0,417551.0,2.317844776011168,False
158,서울특별시,금천구,38177.0,33146.0,71323.0,14540.0,17436.0,31976.0,119885.0,115501.0,235386.0,2.073179884913685,False
